Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
1153: S00,1      S02,01     S02,1      S03,0      S06,00     S03        S06,0      S03,10     S06,0      S06        S03,1      S06,100    S06,10     S06,10     S06,1     
2153: S02,11     S00,101    S00,11     S06,00     S03,000    S06,0      S03,00     S06,0      S03,00     S03,0      S06        S03,00     S03,0      S03,0      S03       
3153: S06,101    S03,1001   S03,101    S02,111    S00,1011   S02,1111   S00,111    S02,1111   S00,11011  S00,1111   S02,11111  S00,11011  S00,1111   S00,111011 S00,11111 
5153: S06,11     S03,101    S03,11     S02,0111   S00,01011  S02,111    S00,0111   S02,01111  S00,1011   S00,111    S02,1111   S00,011011 S00,01111  S00,11011  S00,1111  
0253: S01,01     S00,01     S00,101    S11,0      S07,0      S11        S07,10     S11,10     S07        S07,1      S11,1      S07,10     S07,110    S07,1      S07,11    
1253: S02,01     S00,001    S00,01     S12,0      S07,00     S12        S07,0      S12,10     S07,0      S07        S12,1      S07,100    S07,10     S07,10     S07,1     
2253: S00,1      S01,1      S02,1      S07,00     S11,00     S07,0      S12,00     S07,0      S11,0      S12,0      S07        S11,0      S12,0      S11        S12       
3253: S07,101    S11,101    S12,101    S00,1011   S01,1011   S00,11011  S02,1011   S00,111    S01,11011  S02,11011  S00,1111   S01,111    S02,111    S01,1111   S02,1111  
5253: S07,11     S11,11     S12,11     S00,01011  S01,01011  S00,1011   S02,01011  S00,0111   S01,1011   S02,1011   S00,111    S01,0111   S02,0111   S01,111    S02,111   
0353: S04,001    S03,001    S03,1001   S01,011    S00,011    S01,0111   S00,1011   S01,1011   S00,0111   S00,10111  S01,10111  S00,1011   S00,11011  S00,10111  S00,110111
1353: S06,001    S03,0001   S03,001    S02,011    S00,0011   S02,0111   S00,011    S02,1011   S00,00111  S00,0111   S02,10111  S00,10011  S00,1011   S00,100111 S00,10111 
2353: S07,001    S11,001    S12,001    S00,0011   S01,0011   S00,00111  S02,0011   S00,011    S01,00111  S02,00111  S00,0111   S01,011    S02,011    S01,0111   S02,0111  
3353: S00,1      S01,1      S02,1      S03,0      S04,0      S03,10     S06,0      S07,0      S04,10     S06,10     S07,10     S11,0      S12,0      S11,10     S12,10    
5353: S00,11     S01,11     S02,11     S03,00     S04,00     S03,0      S06,00     S07,00     S04,0      S06,0      S07,0      S11,00     S12,00     S11,0      S12,0     
0553: S04,01     S03,01     S03,101    S01,0011   S00,0011   S01,011    S00,10011  S01,10011  S00,011    S00,1011   S01,1011   S00,10011  S00,110011 S00,1011   S00,11011 
1553: S06,01     S03,001    S03,01     S02,0011   S00,00011  S02,011    S00,0011   S02,10011  S00,0011   S00,011    S02,1011   S00,100011 S00,10011  S00,10011  S00,1011  
2553: S07,01     S11,01     S12,01     S00,00011  S01,00011  S00,0011   S02,00011  S00,0011   S01,0011   S02,0011   S00,011    S01,0011   S02,0011   S01,011    S02,011   
3553: S00,01     S01,01     S02,01     S03        S04        S03,1      S06        S07        S04,1      S06,1      S07,1      S11        S12        S11,1      S12,1     
5553: S00,1      S01,1      S02,1      S03,0      S04,0      S03        S06,0      S07,0      S04        S06        S07        S11,0      S12,0      S11        S12       
0005: S08,00     S05,00     S05,100    S01,000    S00,000    S01,00     S00,1000   S01,1000   S00,00     S00,100    S01,100    S00,1000   S00,11000  S00,100    S00,1100  
1005: S08,100    S05,000    S05,00     S01,1000   S00,0000   S01,100    S00,000    S01,11000  S00,000    S00,00     S01,1100   S00,10000  S00,1000   S00,1000   S00,100   
2005: S05,100    S08,100    S08,1100   S00,0000   S01,0000   S00,000    S01,01000  S00,000    S01,000    S01,0100   S00,00     S01,000    S01,1000   S01,00     S01,100   
3005: S00,100    S01,100    S01,1100   S05,10     S08,10     S05,110    S08,110    S05,110    S08,110    S08,1110   S05,1110   S08,110    S08,1110   S08,1110   S08,11110 
5005: S00,10     S01,10     S01,110    S05,010    S08,010    S05,10     S08,0110   S05,0110   S08,10     S08,110    S05,110    S08,0110   S08,01110  S08,110    S08,1110  
0105: S08,000    S05,100    S05,1100   S01,0000   S00,1000   S01,000    S00,11000  S01,10000  S00,100    S00,1100   S01,1000   S00,11000  S00,111000 S00,1100   S00,11100 
1105: S08,00     S05,0100   S05,100    S01,000    S00,01000  S01,00     S00,1000   S01,1000   S00,0100   S00,100    S01,100    S00,101000 S00,11000  S00,10100  S00,1100  
2105: S05,1100   S08,1000   S08,100    S00,01000  S01,00000  S00,0100   S01,0000   S00,1000   S01,0000   S01,000    S00,100    S01,0000   S01,000    S01,000    S01,00    
3105: S00,1100   S01,1000   S01,100    S05,110    S08,100    S05,1110   S08,10     S05,1110   S08,1100   S08,110    S05,11110  S08,1100   S08,110    S08,11100  S08,1110  
5105: S00,110    S01,100    S01,10     S05,0110   S08,0100   S05,110    S08,010    S05,01110  S08,100    S08,10     S05,1110   S08,01100  S08,0110   S08,1100   S08,110   
0205: S05,000    S08,000    S08,1000   S00,1000   S01,1000   S00,100    S01,11000  S00,11000  S01,100    S01,1100   S00,1100   S01,11000  S01,111000 S01,1100   S01,11100 
1205: S05,0100   S08,0000   S08,000    S00,11000  S01,01000  S00,1100   S01,1000   S00,111000 S01,0100   S01,100    S00,11100  S01,101000 S01,11000  S01,10100  S01,1100  
2205: S08,00     S05,00     S05,100    S01,01000  S00,01000  S01,0100   S00,011000 S01,1000   S00,0100   S00,01100  S01,100    S00,1000   S00,11000  S00,100    S00,1100  
3205: S01,1100   S00,1100   S00,11100  S08,100    S05,100    S08,1100   S05,1010   S08,10     S05,1100   S05,11010  S08,110    S05,10     S05,110    S05,110    S05,1110  
5205: S01,110    S00,110    S00,1110   S08,0100   S05,0100   S08,100    S05,01010  S08,010    S05,100    S05,1010   S08,10     S05,010    S05,0110   S05,10     S05,110   
0305: S00,000    S01,000    S01,1000   S05,00     S08,00     S05,010    S08,100    S05,100    S08,010    S08,1010   S05,1010   S08,100    S08,1100   S08,1010   S08,11010 
1305: S00,0100   S01,0000   S01,000    S05,010    S08,000    S05,0110   S08,00     S05,1010   S08,0010   S08,010    S05,10110  S08,1000   S08,100    S08,10010  S08,1010  
2305: S01,0100   S00,0100   S00,01100  S08,000    S05,000    S08,0010   S05,0010   S08,00     S05,0010   S05,00110  S08,010    S05,00     S05,010    S05,010    S05,0110  
3305: S08,00     S05,00     S05,100    S01,000    S00,000    S01,1000   S00,1000   S01,1000   S00,1000   S00,11000  S01,11000  S00,1000   S00,11000  S00,11000  S00,111000
5305: S08,100    S05,100    S05,1100   S01,0000   S00,0000   S01,000    S00,01000  S01,01000  S00,000    S00,1000   S01,1000   S00,01000  S00,011000 S00,1000   S00,11000 
0505: S00,00     S01,00     S01,100    S05,000    S08,000    S05,00     S08,1000   S05,1000   S08,00     S08,100    S05,100    S08,1000   S08,11000  S08,100    S08,1100  
1505: S00,010    S01,000    S01,00     S05,0010   S08,0000   S05,010    S08,000    S05,10010  S08,000    S08,00     S05,1010   S08,10000  S08,1000   S08,1000   S08,100   
2505: S01,010    S00,010    S00,0110   S08,0000   S05,0000   S08,000    S05,00010  S08,000    S05,000    S05,0010   S08,00     S05,000    S05,0010   S05,00     S05,010   
3505: S08,000    S05,000    S05,0100   S01,00     S00,00     S01,100    S00,100    S01,100    S00,100    S00,1100   S01,1100   S00,100    S00,1100   S00,1100   S00,11100 
5505: S08,00     S05,00     S05,100    S01,000    S00,000    S01,00     S00,0100   S01,0100   S00,00     S00,100    S01,100    S00,0100   S00,01100  S00,100    S00,1100  
0015: S09,00     S05,000    S05,1000   S02,000    S00,0000   S02,00     S00,10000  S02,1000   S00,000    S00,1000   S02,100    S00,10000  S00,110000 S00,1000   S00,11000 
1015: S09,100    S05,0000   S05,000    S02,1000   S00,00000  S02,100    S00,0000   S02,11000  S00,0000   S00,000    S02,1100   S00,100000 S00,10000  S00,10000  S00,1000  
2015: S05,1000   S09,100    S09,1100   S00,00000  S02,0000   S00,0000   S02,01000  S00,0000   S02,000    S02,0100   S00,000    S02,000    S02,1000   S02,00     S02,100   
3015: S00,1000   S02,100    S02,1100   S05,100    S09,10     S05,1100   S09,110    S05,1100   S09,110    S09,1110   S05,11100  S09,110    S09,1110   S09,1110   S09,11110 
5015: S00,100    S02,10     S02,110    S05,0100   S09,010    S05,100    S09,0110   S05,01100  S09,10     S09,110    S05,1100   S09,0110   S09,01110  S09,110    S09,1110  
0115: S09,000    S05,00     S05,100    S02,0000   S00,000    S02,000    S00,1000   S02,10000  S00,00     S00,100    S02,1000   S00,1000   S00,11000  S00,100    S00,1100  
1115: S09,00     S05,000    S05,00     S02,000    S00,0000   S02,00     S00,000    S02,1000   S00,000    S00,00     S02,100    S00,10000  S00,1000   S00,1000   S00,100   
2115: S05,100    S09,1000   S09,100    S00,0000   S02,00000  S00,000    S02,0000   S00,000    S02,0000   S02,000    S00,00     S02,0000   S02,000    S02,000    S02,00    
3115: S00,100    S02,1000   S02,100    S05,10     S09,100    S05,110    S09,10     S05,110    S09,1100   S09,110    S05,1110   S09,1100   S09,110    S09,11100  S09,1110  
5115: S00,10     S02,100    S02,10     S05,010    S09,0100   S05,10     S09,010    S05,0110   S09,100    S09,10     S05,110    S09,01100  S09,0110   S09,1100   S09,110   
0215: S05,0000   S09,000    S09,1000   S00,10000  S02,1000   S00,1000   S02,11000  S00,110000 S02,100    S02,1100   S00,11000  S02,11000  S02,111000 S02,1100   S02,11100 
1215: S05,000    S09,0000   S09,000    S00,1000   S02,01000  S00,100    S02,1000   S00,11000  S02,0100   S02,100    S00,1100   S02,101000 S02,11000  S02,10100  S02,1100  
2215: S09,00     S05,000    S05,00     S02,01000  S00,010000 S02,0100   S00,01000  S02,1000   S00,01000  S00,0100   S02,100    S00,10000  S00,1000   S00,1000   S00,100   
3215: S02,1100   S00,11000  S00,1100   S09,100    S05,1000   S09,1100   S05,100    S09,10     S05,11000  S05,1100   S09,110    S05,100    S05,10     S05,1100   S05,110   
5215: S02,110    S00,1100   S00,110    S09,0100   S05,01000  S09,100    S05,0100   S09,010    S05,1000   S05,100    S09,10     S05,0100   S05,010    S05,100    S05,10    
0315: S00,0000   S02,000    S02,1000   S05,000    S09,00     S05,0100   S09,100    S05,1000   S09,010    S09,1010   S05,10100  S09,100    S09,1100   S09,1010   S09,11010 
1315: S00,000    S02,0000   S02,000    S05,00     S09,000    S05,010    S09,00     S05,100    S09,0010   S09,010    S05,1010   S09,1000   S09,100    S09,10010  S09,1010  
2315: S02,0100   S00,01000  S00,0100   S09,000    S05,0000   S09,0010   S05,000    S09,00     S05,00100  S05,0010   S09,010    S05,000    S05,00     S05,0100   S05,010   
3315: S09,00     S05,000    S05,00     S02,000    S00,0000   S02,1000   S00,000    S02,1000   S00,10000  S00,1000   S02,11000  S00,10000  S00,1000   S00,110000 S00,11000 
5315: S09,100    S05,1000   S05,100    S02,0000   S00,00000  S02,000    S00,0000   S02,01000  S00,0000   S00,000    S02,1000   S00,010000 S00,01000  S00,10000  S00,1000  
0515: S00,000    S02,00     S02,100    S05,0000   S09,000    S05,000    S09,1000   S05,10000  S09,00     S09,100    S05,1000   S09,1000   S09,11000  S09,100    S09,1100  
1515: S00,00     S02,000    S02,00     S05,000    S09,0000   S05,00     S09,000    S05,1000   S09,000    S09,00     S05,100    S09,10000  S09,1000   S09,1000   S09,100   
2515: S02,010    S00,0100   S00,010    S09,0000   S05,00000  S09,000    S05,0000   S09,000    S05,0000   S05,000    S09,00     S05,0000   S05,000    S05,000    S05,00    
3515: S09,000    S05,0000   S05,000    S02,00     S00,000    S02,100    S00,00     S02,100    S00,1000   S00,100    S02,1100   S00,1000   S00,100    S00,11000  S00,1100  
5515: S09,00     S05,000    S05,00     S02,000    S00,0000   S02,00     S00,000    S02,0100   S00,000    S00,00     S02,100    S00,01000  S00,0100   S00,1000   S00,100   
0025: S10,00     S13,00     S13,100    S00,0000   S01,0000   S00,000    S01,10000  S00,10000  S01,000    S01,1000   S00,1000   S01,10000  S01,110000 S01,1000   S01,11000 
1025: S10,100    S13,000    S13,00     S00,10000  S01,00000  S00,1000   S01,0000   S00,110000 S01,0000   S01,000    S00,11000  S01,100000 S01,10000  S01,10000  S01,1000  
2025: S13,100    S10,100    S10,1100   S01,00000  S00,00000  S01,0000   S00,010000 S01,0000   S00,0000   S00,01000  S01,000    S00,0000   S00,10000  S00,000    S00,1000  
3025: S01,1000   S00,1000   S00,11000  S13,10     S10,10     S13,110    S10,110    S13,110    S10,110    S10,1110   S13,1110   S10,110    S10,1110   S10,1110   S10,11110 
5025: S01,100    S00,100    S00,1100   S13,010    S10,010    S13,10     S10,0110   S13,0110   S10,10     S10,110    S13,110    S10,0110   S10,01110  S10,110    S10,1110  
0125: S10,000    S14,00     S14,100    S00,00000  S02,0000   S00,0000   S02,10000  S00,100000 S02,000    S02,1000   S00,10000  S02,10000  S02,110000 S02,1000   S02,11000 
1125: S10,00     S14,000    S14,00     S00,0000   S02,00000  S00,000    S02,0000   S00,10000  S02,0000   S02,000    S00,1000   S02,100000 S02,10000  S02,10000  S02,1000  
2125: S14,100    S10,1000   S10,100    S02,00000  S00,000000 S02,0000   S00,00000  S02,0000   S00,00000  S00,0000   S02,000    S00,00000  S00,0000   S00,0000   S00,000   
3125: S02,1000   S00,10000  S00,1000   S14,10     S10,100    S14,110    S10,10     S14,110    S10,1100   S10,110    S14,1110   S10,1100   S10,110    S10,11100  S10,1110  
5125: S02,100    S00,1000   S00,100    S14,010    S10,0100   S14,10     S10,010    S14,0110   S10,100    S10,10     S14,110    S10,01100  S10,0110   S10,1100   S10,110   
0225: S13,000    S10,000    S10,1000   S01,000    S00,000    S01,00     S00,1000   S01,1000   S00,00     S00,100    S01,100    S00,1000   S00,11000  S00,100    S00,1100  
1225: S14,000    S10,0000   S10,000    S02,000    S00,0000   S02,00     S00,000    S02,1000   S00,000    S00,00     S02,100    S00,10000  S00,1000   S00,1000   S00,100   
2225: S10,00     S13,00     S14,00     S00,0000   S01,0000   S00,000    S02,0000   S00,000    S01,000    S02,000    S00,00     S01,000    S02,000    S01,00     S02,00    
3225: S00,100    S01,100    S02,100    S10,100    S13,100    S10,1100   S14,100    S10,10     S13,1100   S14,1100   S10,110    S13,10     S14,10     S13,110    S14,110   
5225: S00,10     S01,10     S02,10     S10,0100   S13,0100   S10,100    S14,0100   S10,010    S13,100    S14,100    S10,10     S13,010    S14,010    S13,10     S14,10    
0325: S01,0000   S00,0000   S00,10000  S13,00     S10,00     S13,010    S10,100    S13,100    S10,010    S10,1010   S13,1010   S10,100    S10,1100   S10,1010   S10,11010 
1325: S02,0000   S00,00000  S00,0000   S14,00     S10,000    S14,010    S10,00     S14,100    S10,0010   S10,010    S14,1010   S10,1000   S10,100    S10,10010  S10,1010  
2325: S00,000    S01,000    S02,000    S10,000    S13,000    S10,0010   S14,000    S10,00     S13,0010   S14,0010   S10,010    S13,00     S14,00     S13,010    S14,010   
3325: S10,00     S13,00     S14,00     S00,0000   S01,0000   S00,10000  S02,0000   S00,000    S01,10000  S02,10000  S00,1000   S01,000    S02,000    S01,1000   S02,1000  
5325: S10,100    S13,100    S14,100    S00,00000  S01,00000  S00,0000   S02,00000  S00,0000   S01,0000   S02,0000   S00,000    S01,0000   S02,0000   S01,000    S02,000   
0525: S01,000    S00,000    S00,1000   S13,000    S10,000    S13,00     S10,1000   S13,1000   S10,00     S10,100    S13,100    S10,1000   S10,11000  S10,100    S10,1100  
1525: S02,000    S00,0000   S00,000    S14,000    S10,0000   S14,00     S10,000    S14,1000   S10,000    S10,00     S14,100    S10,10000  S10,1000   S10,1000   S10,100   
2525: S00,00     S01,00     S02,00     S10,0000   S13,0000   S10,000    S14,0000   S10,000    S13,000    S14,000    S10,00     S13,000    S14,000    S13,00     S14,00    
3525: S10,000    S13,000    S14,000    S00,000    S01,000    S00,1000   S02,000    S00,00     S01,1000   S02,1000   S00,100    S01,00     S02,00     S01,100    S02,100   
5525: S10,00     S13,00     S14,00     S00,0000   S01,0000   S00,000    S02,0000   S00,000    S01,000    S02,000    S00,00     S01,000    S02,000    S01,00     S02,00    
0035: S00,0      S01,0      S01,10     S05        S08        S05,1      S08,1      S05,1      S08,1      S08,11     S05,11     S08,1      S08,11     S08,11     S08,111   
1035: S00,10     S01,00     S01,0      S05,1      S08,0      S05,11     S08        S05,11     S08,01     S08,1      S05,111    S08,10     S08,1      S08,101    S08,11    
2035: S01,10     S00,10     S00,110    S08,0      S05,0      S08,01     S05,01     S08        S05,01     S05,011    S08,1      S05        S05,1      S05,1      S05,11    
3035: S08,11     S05,11     S05,111    S01,110    S00,110    S01,1110   S00,1110   S01,1110   S00,1110   S00,11110  S01,11110  S00,1110   S00,11110  S00,11110  S00,111110
5035: S08,111    S05,111    S05,1111   S01,0110   S00,0110   S01,110    S00,01110  S01,01110  S00,110    S00,1110   S01,1110   S00,01110  S00,011110 S00,1110   S00,11110 
0135: S00,00     S02,0      S02,10     S05,0      S09        S05,01     S09,1      S05,10     S09,1      S09,11     S05,101    S09,1      S09,11     S09,11     S09,111   
1135: S00,0      S02,00     S02,0      S05        S09,0      S05,1      S09        S05,1      S09,01     S09,1      S05,11     S09,10     S09,1      S09,101    S09,11    
2135: S02,10     S00,100    S00,10     S09,0      S05,00     S09,01     S05,0      S09        S05,001    S05,01     S09,1      S05,0      S05        S05,01     S05,1     
3135: S09,11     S05,101    S05,11     S02,110    S00,1010   S02,1110   S00,110    S02,1110   S00,11010  S00,1110   S02,11110  S00,11010  S00,1110   S00,111010 S00,11110 
5135: S09,111    S05,1011   S05,111    S02,0110   S00,01010  S02,110    S00,0110   S02,01110  S00,1010   S00,110    S02,1110   S00,011010 S00,01110  S00,11010  S00,1110  
0235: S01,00     S00,00     S00,100    S13        S10        S13,1      S10,1      S13,1      S10,1      S10,11     S13,11     S10,1      S10,11     S10,11     S10,111   
1235: S02,00     S00,000    S00,00     S14        S10,0      S14,1      S10        S14,1      S10,01     S10,1      S14,11     S10,10     S10,1      S10,101    S10,11    
2235: S00,0      S01,0      S02,0      S10,0      S13,0      S10,01     S14,0      S10        S13,01     S14,01     S10,1      S13        S14        S13,1      S14,1     
3235: S10,11     S13,11     S14,11     S00,1010   S01,1010   S00,11010  S02,1010   S00,110    S01,11010  S02,11010  S00,1110   S01,110    S02,110    S01,1110   S02,1110  
5235: S10,111    S13,111    S14,111    S00,01010  S01,01010  S00,1010   S02,01010  S00,0110   S01,1010   S02,1010   S00,110    S01,0110   S02,0110   S01,110    S02,110   
0335: S08,01     S05,01     S05,101    S01,010    S00,010    S01,0110   S00,1010   S01,1010   S00,0110   S00,10110  S01,10110  S00,1010   S00,11010  S00,10110  S00,110110
1335: S09,01     S05,001    S05,01     S02,010    S00,0010   S02,0110   S00,010    S02,1010   S00,00110  S00,0110   S02,10110  S00,10010  S00,1010   S00,100110 S00,10110 
2335: S10,01     S13,01     S14,01     S00,0010   S01,0010   S00,00110  S02,0010   S00,010    S01,00110  S02,00110  S00,0110   S01,010    S02,010    S01,0110   S02,0110  
3335: S00,0      S01,0      S02,0      S05        S08        S05,1      S09        S10        S08,1      S09,1      S10,1      S13        S14        S13,1      S14,1     
5335: S00,10     S01,10     S02,10     S05,0      S08,0      S05        S09,0      S10,0      S08        S09        S10        S13,0      S14,0      S13        S14       
0535: S08,011    S05,011    S05,1011   S01,0010   S00,0010   S01,010    S00,10010  S01,10010  S00,010    S00,1010   S01,1010   S00,10010  S00,110010 S00,1010   S00,11010 
1535: S09,011    S05,0011   S05,011    S02,0010   S00,00010  S02,010    S00,0010   S02,10010  S00,0010   S00,010    S02,1010   S00,100010 S00,10010  S00,10010  S00,1010  
2535: S10,011    S13,011    S14,011    S00,00010  S01,00010  S00,0010   S02,00010  S00,0010   S01,0010   S02,0010   S00,010    S01,0010   S02,0010   S01,010    S02,010   
3535: S00,00     S01,00     S02,00     S05,1      S08,1      S05,11     S09,1      S10,1      S08,11     S09,11     S10,11     S13,1      S14,1      S13,11     S14,11    
5535: S00,0      S01,0      S02,0      S05,01     S08,01     S05,1      S09,01     S10,01     S08,1      S09,1      S10,1      S13,01     S14,01     S13,1      S14,1     
0055: S00        S01        S01,1      S05,0      S08,0      S05        S08,10     S05,10     S08        S08,1      S05,1      S08,10     S08,110    S08,1      S08,11    
1055: S00,1      S01,0      S01        S05,10     S08,00     S05,1      S08,0      S05,110    S08,0      S08        S05,11     S08,100    S08,10     S08,10     S08,1     
2055: S01,1      S00,1      S00,11     S08,00     S05,00     S08,0      S05,010    S08,0      S05,0      S05,01     S08        S05,0      S05,10     S05        S05,1     
3055: S08,101    S05,101    S05,1101   S01,11     S00,11     S01,111    S00,111    S01,111    S00,111    S00,1111   S01,1111   S00,111    S00,1111   S00,1111   S00,11111 
5055: S08,11     S05,11     S05,111    S01,011    S00,011    S01,11     S00,0111   S01,0111   S00,11     S00,111    S01,111    S00,0111   S00,01111  S00,111    S00,1111  
0155: S00,0      S02        S02,1      S05,00     S09,0      S05,0      S09,10     S05,100    S09        S09,1      S05,10     S09,10     S09,110    S09,1      S09,11    
1155: S00        S02,0      S02        S05,0      S09,00     S05        S09,0      S05,10     S09,0      S09        S05,1      S09,100    S09,10     S09,10     S09,1     
2155: S02,1      S00,10     S00,1      S09,00     S05,000    S09,0      S05,00     S09,0      S05,00     S05,0      S09        S05,00     S05,0      S05,0      S05       
3155: S09,101    S05,1001   S05,101    S02,11     S00,101    S02,111    S00,11     S02,111    S00,1101   S00,111    S02,1111   S00,1101   S00,111    S00,11101  S00,1111  
5155: S09,11     S05,101    S05,11     S02,011    S00,0101   S02,11     S00,011    S02,0111   S00,101    S00,11     S02,111    S00,01101  S00,0111   S00,1101   S00,111   
0255: S01,0      S00,0      S00,10     S13,0      S10,0      S13        S10,10     S13,10     S10        S10,1      S13,1      S10,10     S10,110    S10,1      S10,11    
1255: S02,0      S00,00     S00,0      S14,0      S10,00     S14        S10,0      S14,10     S10,0      S10        S14,1      S10,100    S10,10     S10,10     S10,1     
2255: S00        S01        S02        S10,00     S13,00     S10,0      S14,00     S10,0      S13,0      S14,0      S10        S13,0      S14,0      S13        S14       
3255: S10,101    S13,101    S14,101    S00,101    S01,101    S00,1101   S02,101    S00,11     S01,1101   S02,1101   S00,111    S01,11     S02,11     S01,111    S02,111   
5255: S10,11     S13,11     S14,11     S00,0101   S01,0101   S00,101    S02,0101   S00,011    S01,101    S02,101    S00,11     S01,011    S02,011    S01,11     S02,11    
0355: S08,001    S05,001    S05,1001   S01,01     S00,01     S01,011    S00,101    S01,101    S00,011    S00,1011   S01,1011   S00,101    S00,1101   S00,1011   S00,11011 
1355: S09,001    S05,0001   S05,001    S02,01     S00,001    S02,011    S00,01     S02,101    S00,0011   S00,011    S02,1011   S00,1001   S00,101    S00,10011  S00,1011  
2355: S10,001    S13,001    S14,001    S00,001    S01,001    S00,0011   S02,001    S00,01     S01,0011   S02,0011   S00,011    S01,01     S02,01     S01,011    S02,011   
3355: S00        S01        S02        S05,0      S08,0      S05,10     S09,0      S10,0      S08,10     S09,10     S10,10     S13,0      S14,0      S13,10     S14,10    
5355: S00,1      S01,1      S02,1      S05,00     S08,00     S05,0      S09,00     S10,00     S08,0      S09,0      S10,0      S13,00     S14,00     S13,0      S14,0     
0555: S08,01     S05,01     S05,101    S01,001    S00,001    S01,01     S00,1001   S01,1001   S00,01     S00,101    S01,101    S00,1001   S00,11001  S00,101    S00,1101  
1555: S09,01     S05,001    S05,01     S02,001    S00,0001   S02,01     S00,001    S02,1001   S00,001    S00,01     S02,101    S00,10001  S00,1001   S00,1001   S00,101   
2555: S10,01     S13,01     S14,01     S00,0001   S01,0001   S00,001    S02,0001   S00,001    S01,001    S02,001    S00,01     S01,001    S02,001    S01,01     S02,01    
3555: S00,0      S01,0      S02,0      S05        S08        S05,1      S09        S10        S08,1      S09,1      S10,1      S13        S14        S13,1      S14,1     
5555: S00        S01        S02        S05,0      S08,0      S05        S09,0      S10,0      S08        S09        S10        S13,0      S14,0      S13        S14       
