Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
5320: S01,11     S00,11     S00,111    S04,00     S03,00     S04,0      S03,001    S04,0      S03,0      S03,01     S04        S03,0      S03,01     S03        S03,1     
0520: S05,001    S08,001    S08,1001   S00,0011   S01,0011   S00,011    S01,10011  S00,10011  S01,011    S01,1011   S00,1011   S01,10011  S01,110011 S01,1011   S01,11011 
1520: S05,0011   S08,0001   S08,001    S00,00111  S01,00011  S00,0111   S01,0011   S00,100111 S01,0011   S01,011    S00,10111  S01,100011 S01,10011  S01,10011  S01,1011  
2520: S08,01     S05,01     S05,011    S01,00011  S00,00011  S01,0011   S00,000111 S01,0011   S00,0011   S00,00111  S01,011    S00,0011   S00,00111  S00,011    S00,0111  
3520: S01,01     S00,01     S00,011    S08,0      S05,0      S08,10     S05,01     S08        S05,10     S05,101    S08,1      S05        S05,1      S05,1      S05,11    
5520: S01,1      S00,1      S00,11     S08,00     S05,00     S08,0      S05,001    S08,0      S05,0      S05,01     S08        S05,0      S05,01     S05        S05,1     
0030: S04,10     S03,10     S03,110    S01,10     S00,10     S01,110    S00,110    S01,110    S00,110    S00,1110   S01,1110   S00,110    S00,1110   S00,1110   S00,11110 
1030: S04,110    S03,010    S03,10     S01,110    S00,010    S01,1110   S00,10     S01,1110   S00,0110   S00,110    S01,11110  S00,1010   S00,110    S00,10110  S00,1110  
2030: S03,110    S04,110    S04,1110   S00,010    S01,010    S00,0110   S01,0110   S00,10     S01,0110   S01,01110  S00,110    S01,10     S01,110    S01,110    S01,1110  
3030: S00,11     S01,11     S01,111    S03,11     S04,11     S03,111    S04,111    S03,111    S04,111    S04,1111   S03,1111   S04,111    S04,1111   S04,1111   S04,11111 
5030: S00,111    S01,111    S01,1111   S03,011    S04,011    S03,11     S04,0111   S03,0111   S04,11     S04,111    S03,111    S04,0111   S04,01111  S04,111    S04,1111  
0130: S04,010    S03,101    S03,1101   S01,010    S00,101    S01,0110   S00,1101   S01,1010   S00,1101   S00,11101  S01,10110  S00,1101   S00,11101  S00,11101  S00,111101
1130: S04,10     S03,0101   S03,101    S01,10     S00,0101   S01,110    S00,101    S01,110    S00,01101  S00,1101   S01,1110   S00,10101  S00,1101   S00,101101 S00,11101 
2130: S03,1101   S04,1010   S04,110    S00,0101   S01,0010   S00,01101  S01,010    S00,101    S01,00110  S01,0110   S00,1101   S01,010    S01,10     S01,0110   S01,110   
3130: S00,111    S01,101    S01,11     S03,111    S04,101    S03,1111   S04,11     S03,1111   S04,1101   S04,111    S03,11111  S04,1101   S04,111    S04,11101  S04,1111  
5130: S00,1111   S01,1011   S01,111    S03,0111   S04,0101   S03,111    S04,011    S03,01111  S04,101    S04,11     S03,1111   S04,01101  S04,0111   S04,1101   S04,111   
0230: S03,010    S04,010    S04,1010   S00,101    S01,101    S00,1101   S01,1101   S00,1101   S01,1101   S01,11101  S00,11101  S01,1101   S01,11101  S01,11101  S01,111101
1230: S03,0101   S04,0010   S04,010    S00,1011   S01,0101   S00,11011  S01,101    S00,11011  S01,01101  S01,1101   S00,111011 S01,10101  S01,1101   S01,101101 S01,11101 
2230: S04,10     S03,10     S03,101    S01,0101   S00,0101   S01,01101  S00,01011  S01,101    S00,01101  S00,011011 S01,1101   S00,101    S00,1011   S00,1101   S00,11011 
3230: S01,111    S00,111    S00,1111   S04,101    S03,101    S04,1101   S03,1011   S04,11     S03,1101   S03,11011  S04,111    S03,11     S03,111    S03,111    S03,1111  
5230: S01,1111   S00,1111   S00,11111  S04,0101   S03,0101   S04,101    S03,01011  S04,011    S03,101    S03,1011   S04,11     S03,011    S03,0111   S03,11     S03,111   
0330: S00,01     S01,01     S01,101    S03,01     S04,01     S03,011    S04,101    S03,101    S04,011    S04,1011   S03,1011   S04,101    S04,1101   S04,1011   S04,11011 
1330: S00,011    S01,001    S01,01     S03,011    S04,001    S03,0111   S04,01     S03,1011   S04,0011   S04,011    S03,10111  S04,1001   S04,101    S04,10011  S04,1011  
2330: S01,011    S00,011    S00,0111   S04,001    S03,001    S04,0011   S03,0011   S04,01     S03,0011   S03,00111  S04,011    S03,01     S03,011    S03,011    S03,0111  
3330: S04,10     S03,10     S03,101    S01,10     S00,10     S01,110    S00,101    S01,101    S00,110    S00,1101   S01,1101   S00,101    S00,1011   S00,1101   S00,11011 
5330: S04,110    S03,110    S03,1101   S01,010    S00,010    S01,10     S00,0101   S01,0101   S00,10     S00,101    S01,101    S00,0101   S00,01011  S00,101    S00,1011  
0530: S00,011    S01,011    S01,1011   S03,001    S04,001    S03,01     S04,1001   S03,1001   S04,01     S04,101    S03,101    S04,1001   S04,11001  S04,101    S04,1101  
1530: S00,0111   S01,0011   S01,011    S03,0011   S04,0001   S03,011    S04,001    S03,10011  S04,001    S04,01     S03,1011   S04,10001  S04,1001   S04,1001   S04,101   
2530: S01,0111   S00,0111   S00,01111  S04,0001   S03,0001   S04,001    S03,00011  S04,001    S03,001    S03,0011   S04,01     S03,001    S03,0011   S03,01     S03,011   
3530: S04,010    S03,010    S03,0101   S01,110    S00,110    S01,1110   S00,1101   S01,1101   S00,1110   S00,11101  S01,11101  S00,1101   S00,11011  S00,11101  S00,111011
